,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
33156,1,6,46,186,0,13990006,6414,830952,40.0,0,0,2,26
33157,1,1,44,206,48,73990677,9520,2300263,15.0,0,0,0,13
33158,1,2,44,14,20,13990075,2218,2336547,2.0,0,0,1,1
33160,1,1,44,111,37,35990211,9413,1618693,4.0,1,0,3,7
33161,1,6,45,12,65,11990003,1100,897643,25.0,0,0,10,3
33162,1,1,43,82,99,35990020,8195,1902991,33.0,0,0,5,24
33166,1,6,52,213,51,70990065,11232,1981418,20.0,0,1,5,12
33171,1,2,43,106,15,9990019,7143,1410172,35.0,0,0,1,17
33172,1,2,44,227,52,48010019,4642,1791849,20.0,1,0,2,11
33174,1,6,47,99,51,23990175,7290,2188769,15.0,0,1,4,9
33179,1,1,43,13,65,35990017,7544,1329115,20.0,0,0,12,3
33182,1,1,43,55,70,35990003,6796,2204186,10.0,0,0,2,7
33183,1,6,44,186,96,35990017,7441,1305342,25.0,0,0,0,17
33184,0,6,49,219,42,9150000,7143,786241,50.0,0,0,1,24
33185,1,1,41,55,12,12130000,886,761799,45.0,0,0,3,19
33186,1,2,44,213,27,23990196,10565,2273420,5.0,0,1,2,3
33188,1,2,44,99,99,13990082,2407,2262068,5.0,0,0,2,2
33189,1,1,42,82,25,9150000,7143,773931,45.0,0,0,4,18
33191,1,2,52,55,43,11990003,1444,1220908,25.0,0,0,5,7
33192,1,1,42,213,94,35990014,7670,2336206,2.0,0,0,0,1
33193,1,1,47,18,51,13150004,125,1546265,40.0,0,0,10,25
33194,1,2,43,214,99,13150004,703,2088547,12.0,0,1,4,7
33196,1,6,43,186,94,48010019,4517,2258177,10.0,0,1,1,8
33197,1,1,46,213,64,48040003,10125,2347176,2.0,0,0,0,2
33201,1,1,44,99,33,35990003,9108,2041802,10.0,1,0,1,4
33204,1,6,48,115,53,11990003,1382,1422354,25.0,0,0,3,10
33205,1,6,58,213,4,13990043,6436,2303816,3.0,0,0,1,1
33206,1,6,47,99,75,9990019,7143,1190058,25.0,0,0,5,7
33208,1,6,44,20,93,35990003,6889,2308057,15.0,0,0,1,13
33209,0,6,51,183,68,35990156,8987,1976558,22.0,0,0,2,15
33211,1,6,43,24,32,48040003,10330,2289010,10.0,1,0,1,8
33212,1,2,46,14,50,35990016,7608,2170829,8.0,1,0,3,4
33213,1,1,44,14,58,35990015,7701,2302150,10.0,0,1,1,8
